Title,Creator(s),Genre(s)
Loki,Michael Waldron,Action/Adventure/Crime/Thriller/Fantasy/Drama/Science Fiction/Superhero
The Mandalorian,Jon Favreau,Action/Adventure/Drama/Science fiction/Western
WandaVision,Jac Schaeffer,Drama/Mystery/Romance/Sitcom/Superhero
The Falcon and the Winter Soldier,Malcolm Spellman,Action/Adventure/Science Fiction/Superhero/Comedy
What If...?,A.C. Bradley,Action/Adventure/Anthology/Science fiction/Superhero
The Imagineering Story,Leslie Iwerks,Documentary
Star Wars: The Clone Wars,George Lucas,Science Fiction/Action/Adventure
The Mysterious Benedict Society,Matt Manfredi/Phil Hay,Family/Mystery/Adventure
Big Shot,David E. Kelley/Dean Lorey/Brad Garrett,Comedy/Drama/Sports
Prop Culture,Dan Lanigan,Documentary