driver,team,nationality,points
Max Verstappen,Red Bull,Dutch,262.5
Lewis Hamilton,Mercedes,British,256.5
Valtteri Bottas,Mercedes,Finnish,177
Sergio Perez,Red Bull,Mexican,135
Lando Norris,McLaren,British,145
Charles Leclerc,Ferrari,Monagasque,116
Carlos Sainz,Ferrari,Spanish,116.5
Daniel Ricciardo,McLaren,Australian,95
Pierre Gasly,AlphaTauri,French,74
Fernando Alonso,Alpine,Spanish,58
Esteban Ocon,Alpine,French,46
Sebastian Vettel,Aston Martin,German,35
Lance Stroll,Aston Martin,Canadian,26
Yuki Tsunoda,AlphaTauri,Japanese,18
George Russell,Williams,British,16
Nicholas Latifi,Williams,Canadian,7
Kimi Raikkonen,Alfa Romeo,Finnish,6
Antonio Giovinazzi,Alfa Romeo,Italian,1
Mick Schumacher,Haas,German,0
Nikita Mazepin,Haas,Russian,0