name,team,position,fastest_lap,points
Antonio Giovinazzi,Alfa Romeo,11,1:41:145,0
Carlos Sainz,Ferrari,7,1:40:377,6
Charles Leclerc,Ferrari,4,1:39:303,12
Daniel Ricciardo,McLaren,5,1:40:345,10
Esteban Ocon,Alpine,19,1:42:194,0
Fernando Alonso,Alpine,18,1:40:067,0
George Russell,Williams,14,1:41:120,0
Kimi Raikkonen,Alfa Romeo,13,1:41:340,0
Lance Stroll,Aston Martin,12,1:41:189,0
Lando Norris,McLaren,8,1:40:228,4
Lewis Hamilton,Mercedes,2,1:38:485,18
Max Verstappen,Red Bull,1,1:39:096,25
Mick Schumacher,Haas,16,1:41:395,0
Nicholas Latifi,Williams,15,1:41:818,0
Nikita Mazepin,Haas,17,1:42:886,0
Pierre Gasly,AlphaTauri,20,1:42:015,0
Sebastian Vettel,Aston Martin,10,1:40:481,1
Sergio Perez,Red Bull,3,1:39:566,15
Valtteri Bottas,Mercedes,6,1:40:147,8
Yuki Tsunoda,AlphaTauri,9,1:41:151,2